Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
_UB_YrSHe7Y,Cavalry Trumpeters: Battlefield DRIP 💧🇫🇷,"Jan 27, 2026",60,562,62.67,44.54,545,349,196,190,6,0,0,1,0,50,1,98.04,0,1,0.26,0,0,0,,0,0,,0,0,,0,0,,,0,,208,0.9097,1400,6.1593,1,0.146,0:00:37,1302,3.15
ePc-zlj-hVM,Culture and Lifestyle 🐎⚔️ Napoleon’s Cavalry,"Jan 27, 2026",176,593,38.83,66.67,586,413,173,170,3,0,0,1,0,38,0,100,2,1,0.231,0,0,0,,0,0,,0,0,,0,0,,,0,,110,1.1785,959,11.409,1,0.137,0:01:08,1239,1.86
hlGlE7RJppk,💂 Ranking NAPOLEONIC Hats 🇫🇷 Pt. I,"Feb 12, 2026",81,706,64.64,66,634,59,575,500,75,0,0,2,0,98,1,98.99,5,11,0.194,0,0,0,,0,0,,0,0,,0,0,,,0,1,102,0.723,1213,10.3788,2,0.137,0:00:52,4475,7.78
X-Kxxb9ph48,💂REAL Photos of NAPOLEON'S Old Guard🇫🇷,"Aug 1, 2025",177,113,56.22,,102,62,39,38,1,0,0,0,0,1,0,100,1,0,1.13,0,4,73,5.48,0,0,,0,111,0,0,0,,,0,11,13,0.3439,113,3.1235,0,0.134,0:01:39,934,6.53
ilJdh4Ry0DI,*** ETERNAL 🇫🇷🗡️🐎💂,"Jan 24, 2026",21,618,91.2,39.91,589,262,327,309,18,0,0,0,0,52,3,94.55,2,5,0.212,0,0,0,,0,0,,0,0,,0,0,,,0,,255,0.5442,1780,3.6678,0,0.131,0:00:19,2084,7.44
F83lTgxVrhM,Grand Armeé Collab,"Jan 13, 2026",8,590,129.21,38.84,555,366,189,182,7,0,0,0,0,23,2,92,0,8,0.222,0,0,0,,0,0,,0,0,,0,0,,,0,,229,0.2866,1887,2.1,0,0.131,0:00:10,605,4.13
ZTbYH1I_Cto,NAPOLEON's 🇫🇷 TOP 3 Battle Strategies,"Oct 31, 2025",502,26,45.23,,25,6,17,16,1,0,0,0,0,0,0,,1,0,5.417,0,1,16,6.25,0,0,,0,30,0,0,0,,,0,3,6,0.3541,26,1.6399,0,0.13,0:03:47,514,2.72
4tUuX0VEaBI,Napoleon’s 🎺🐎 Cavalry Trumpeters,"Feb 6, 2026",60,650,78.08,54.96,625,198,427,367,60,0,0,1,0,66,2,97.06,3,2,0.214,0,0,0,,0,0,,0,0,,0,0,,,0,,118,0.4017,1291,8.6538,1,0.13,0:00:46,3790,7.28
C2wbs65igfw,Lasalle: The Hussar Who WANTED to Die? ⚔️🔥,"Jan 26, 2026",162,618,46.07,52.53,604,371,233,226,7,0,0,1,0,58,0,100,0,2,0.206,0,0,0,,0,0,,0,0,,0,0,,,0,,136,1.2587,1237,13.0544,1,0.127,0:01:14,711,3.52
J8voOomH3xo,Marshal NEY 🇫🇷 Uniform 🐎,"Jan 20, 2026",42,797,72.23,69.33,719,148,571,552,19,0,0,5,0,105,0,100,5,1,0.157,0,0,0,,0,0,,0,0,,0,0,,,0,,139,0.778,1316,6.868,5,0.125,0:00:30,3387,10.57
GL5H1JZjB28,Napoleon’s 4 Most LEGENDARY Marshals! 🇫🇷⚔️,"Mar 5, 2026",102,538,65.4,71.05,497,98,401,324,77,0,0,2,0,47,4,92.16,1,7,0.227,0,0,0,,0,0,,0,0,,0,0,,,0,,106,1.4357,885,10.0636,2,0.122,0:01:06,4504,6.68
