Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
F-yulc80_xc,Napoleon Bonaparte Lost His Virginity To A PROSTITUTE!?,"Mar 26, 2025",118,23,29.15,,23,18,5,5,0,0,0,0,0,0,0,,0,0,0.739,0,0,0,,1,1,100,1,7,14.29,0,0,,,0,2,3,0.0252,23,0.2198,0,0.017,0:00:34,137,3.65
78mjGqywWaE,💂 Édouard Detaille 🎨 Napoleonic Masterpieces🎖️,"Aug 16, 2025",502,22,27.36,,21,7,15,14,1,0,0,1,0,1,0,100,0,0,3.762,0,0,8,0,0,0,,0,9,0,0,0,,,0,2,2,0.0259,22,0.8393,1,0.081,0:02:17,201,4.48
oPTerlH8gwA,Marshal Ney ⚔️ The Bravest of the Brave,"Sep 22, 2025",271,19,44.74,,19,3,16,14,2,0,0,0,0,1,0,100,0,0,5.333,0,0,3,0,0,0,,0,15,0,0,0,,,0,3,1,0.0108,19,0.6399,0,0.097,0:02:01,648,1.39
LfJ7nZUQujM,SKYBOX : 360 Views Backgrounds HDRIs & Spaces +w/ AI : AWESOME Tool for 3D Game Dev Animation & MORE,"Jul 2, 2023",1384,17,5.28,,16,11,4,4,0,0,0,0,0,0,0,,0,0,0.563,0,0,2,0,0,0,,0,0,,0,0,,,0,,4,0.0833,17,0.345,0,0.01,0:01:13,56,0
q5Ar7EZWfWU,He SAW Lincoln DIE! 🎩STORY of the ASSASSINATION 💥 at Ford's Theatre,"May 17, 2025",275,16,41.29,,15,14,1,1,0,0,0,0,0,0,0,,0,0,1.313,0,0,0,,0,0,,0,9,0,0,0,,,0,1,3,0.0037,16,0.5046,0,0.021,0:01:53,133,0
pTk7ULK7g0o,BUBBLES - for KIDS! Floating COLORFUL RAINBOW BUBBLE Visuals: 4K HD: 1 Hour NO Sound: NAPS + PARTIES,"Nov 1, 2024",3609,16,23.85,,16,16,0,0,0,0,0,0,0,0,0,,0,0,0.813,0,0,0,,0,0,,0,0,,0,0,,,0,,0,0,16,3.8262,0,0.013,0:14:20,10,0
m6Hh3su0oVw,TRAFALGAR 🎖️ NELSON'S Last Stand ⚓️ EYEWITNESS Battle Report from aboard HMS Victory 🇬🇧,"Jul 7, 2025",2551,16,13.12,,7,4,3,3,0,0,0,0,0,0,0,,0,0,4.188,0,0,0,,0,0,,0,0,,0,0,,,0,9,0,0,16,1.4873,0,0.067,0:05:34,193,0
FgSoUKTI5C8,The UNION JACK 🇯🇪+🏴󠁧󠁢󠁳󠁣󠁴󠁿+🏴󠁧󠁢󠁥󠁮󠁧󠁿 = 🇬🇧 HOW the U.K.'s Flag Was United too!,"Nov 5, 2025",128,15,41.61,,14,2,12,11,1,0,0,0,0,1,0,100,0,0,2.333,0,0,2,0,0,0,,0,0,,0,0,,,0,2,0,0,15,0.2219,0,0.035,0:00:53,652,1.53
h-NjK5j-3Ys,Marshal Joachim Murat 🐎 Napoleon’s Daring Cavalry Commander,"Sep 21, 2025",212,15,60.88,,15,2,13,10,3,0,0,0,0,1,0,100,0,0,1.643,0,0,8,0,0,0,,0,15,0,0,0,,,0,1,1,0.0151,15,0.5377,0,0.027,0:02:09,445,2.47
yNWCK4es-9c,Napoleon’s Cavalry ⚔️ Last Knights of Europe,"Aug 22, 2025",179,14,45.25,,13,3,9,9,0,0,0,0,0,0,0,,0,0,1.727,0,0,8,0,0,0,,0,0,,0,0,,,0,3,0,0,14,0.315,0,0.024,0:01:21,254,3.15
A0uMu7Hz2Tc,NAPOLEON 🇫🇷 5 UNKNOWN Facts!,"Nov 1, 2025",223,14,60.35,,12,1,11,8,3,0,0,0,0,1,0,100,0,0,1.308,0,1,12,8.33,0,0,,0,0,,0,0,,,0,1,2,0.0763,14,0.5234,0,0.018,0:02:14,536,1.49
tIQDhqRzW2k,💂‍♂️ NAPOLEON Marches on BERLIN 1806 🏛️ SOLDIERS who were there TELL the TALE!,"May 6, 2025",373,13,43.56,,11,5,6,5,1,0,0,0,0,0,0,,0,0,2.692,0,0,12,0,0,1,0,1,9,11.11,0,0,,,0,3,0,0,13,0.5867,0,0.035,0:02:42,234,3.42
z5D6sSUPkBY,3D MATCAP Library : Material Collection for SPLINE BLENDER NOMAD C4D & More,"Jul 14, 2023",412,12,6.3,,12,12,0,0,0,0,0,0,0,0,0,,0,0,0.455,0,0,0,,0,0,,0,0,,0,0,,,0,,3,0.0406,12,0.0865,0,0.005,0:00:25,0,
U5FId1RB_go,NEON SMOKE - LoFi 4K HD Background VISUALS + PLAYLIST : 1 Hour VIVID Color MOTION & Trippy EDM Music,"Oct 24, 2024",4647,12,2.03,,6,5,1,1,0,0,0,0,0,0,0,,0,0,1.333,0,0,2,0,0,0,,0,0,,0,0,,,0,,3,0.0033,12,0.3142,0,0.016,0:01:34,14,0
gs-o4S3j9z4,Napoleon’s Cavalry 🐎 Comes ALIVE!,"Sep 19, 2025",511,12,32.11,,9,0,9,9,0,0,0,1,0,3,0,100,0,0,5.5,0,0,4,0,0,0,,0,5,0,0,0,,,0,4,2,0.1225,12,0.547,1,0.066,0:02:44,316,2.85
